Massachusetts Institute of Technology (MIT),100
Stanford University,98.4
Harvard University,97.4
University of Oxford,97.2
California Institute of Technology (Caltech),96.9
ETH Zurich (Swiss Federal Institute of Technology),95.9
University of Cambridge,95
UCL (University College London),94.8
Imperial College London,94.1
University of Chicago,92
Nanyang Technological University (NTU),91.8
National University of Singapore (NUS),91.8
Princeton University,90.9
Cornell University,89.3
University of Pennsylvania,88.9
Tsinghua University,88.6
Yale University,87.7
Columbia University,87.4
Ecole Polytechnique FÈdÈrale de Lausanne (EPFL),87.4
University of Edinburgh,86.2
University of Michigan,86
Peking University,84.3
The University of Tokyo,84.3
Johns Hopkins University,83.9
Duke University,83.8
University of Hong Kong (HKU),83.8
The University of Manchester,82.7
"University of California, Berkeley (UCB)",82.6
Australian National University (ANU),82.1
University of Toronto,82.1
Northwestern University,81.5
The Hong Kong University of Science and Technology (HKUST),80.6
King's College London (KCL),80.5
Kyoto University,80.5
McGill University,80.4
"University of California, Los Angeles (UCLA)",80.4
Seoul National University (SNU),79.6
The University of Melbourne,79.5
New York University (NYU),78.8
Fudan University,78.6
KAIST - Korea Advanced Institute of Science and Technology,77.9
The University of Sydney,77.8
The University of New South Wales (UNSW),77.1
London School of Economics and Political Science (LSE),77
"University of California, San Diego (UCSD)",76.6
The Chinese University of Hong Kong (CUHK),75.9
The University of Queensland (UQ),75.7
Carnegie Mellon University,74.8
University of Bristol,74.5
Delft University of Technology,74.2
University of British Columbia,74.1
City University of Hong Kong,73.6
UniversitÈ PSL (Paris Sciences & Lettres),73.4
Zhejiang University,72.4
Technische Universit‰t M¸nchen,72.3
University of Wisconsin-Madison,71.8
Brown University,71.5
Monash University,70.9
Tokyo Institute of Technology,70.9
Ecole Polytechnique,70.5
Shanghai Jiao Tong University,70.5
The University of Warwick,70.4
Ludwig-Maximilians-Universit‰t M¸nchen,69.6
University of Amsterdam,69
University of Texas at Austin,68.6
Ruprecht-Karls-Universit‰t Heidelberg,68.4
University of Glasgow,68.2
University of Washington,67.9
National Taiwan University (NTU),67.3
Universiti Malaya (UM),67.1
Osaka University,66.5
Georgia Institute of Technology (Georgia Tech),66.2
Universidad de Buenos Aires,66
University of Illinois at Urbana-Champaign,65.9
University of Zurich,65.8
Sorbonne University,64.9
Durham University,64.2
The University of Sheffield,64.2
Katholieke Universiteit Leuven,64.1
University of Birmingham,64
University of Copenhagen,63.8
Tohoku University,63.7
Korea University,63.4
The University of Auckland,63.4
Lomonosov Moscow State University,63.2
Rice University,63.1
The University of Western Australia (UWA),62.9
Pohang University of Science and Technology (POSTECH),62.6
University of Science and Technology of China,62.3
"University of North Carolina, Chapel Hill",62.2
The Hong Kong Polytechnic University,61.9
Lund University,61.8
Pennsylvania State University,61.7
University of Leeds,61.7
Sungkyunkwan University,61
The University of Nottingham,60.8
University of Southampton,60.6
Boston University,60.5
"KTH, Royal Institute of Technology",60.5
University of St Andrews,59.9
Ohio State University,59.5
