A.A.,Associate of Arts,10
M.S.,Masters,25
M.S,Masters,25
B.E.,Bachelor,15
A.A.S.,Associate of Applied Science,10
A.A.T.,Associate in Applied Technology,10
A.O.T.,Associate in Occupational Technology,10
A.S.,Associate of Science,10
B.A.,Bachelor of Arts,15
B.A.B.A.,Bachelor of Arts of Business Administration,15
B.A.Com.,Bachelor of Arts in Communication,15
B.A.E.,Bachelor of Aerospace Engineering,15
B.A.Ed.,Bachelor of Arts in Education,15
B.Arch.,Bachelor of Architecture,15
B.A.S.,Bachelor of Applied Science,15
B.B.A.,Bachelor of Business Administration,15
B.B.E.,Bachelor of Biosystems Engineering,15
B.C.E.,Bachelor of Civil Engineering,15
B.Che.E.,Bachelor of Chemical Engineering,15
B.E.E.,Bachelor of Electrical Engineering,15
B.F.A.,Bachelor of Fine Arts,15
B.G.S.,Bachelor of General Studies,15
B.I.Arch.,Bachelor of Interior Architecture,15
B.In.Dsn.,Bachelor of Industrial Design,15
B.I.S.,Bachelor of Interdisciplinary Studies,15
B.I.S.E.,Bachelor of Industrial & Systems Engineering,15
B.L.A.,Bachelor of Liberal Arts,15
B.M.,Bachelor of Music,15
B.M.E.,Bachelor of Mechanical Engineering,15
B.M.Ed.,Bachelor of Music Education,15
B.Mtl.E.,Bachelor of Materials Engineering,15
B.P.F.E.,Bachelor of Polymer and Fiber Engineering,15
B.P.H.S.,Bachelor of Professional Health Science,15
B.S.,Bachelor of Science,15
B.S.A.E.,Bachelor of Science in Aerospace Engineering,15
B.S.B.A.,Bachelor of Science in Business Administration,15
B.S.B.M.E.,Bachelor of Science in Biomedical Engineering,15
B.S.C.B.A.,Bachelor of Science in Commerce Business Administration,15
B.S.C.E.,Bachelor of Science in Civil Engineering,15
B.S.Che.E.,Bachelor of Science in Chemical Engineering,15
B.S.Chem.,Bachelor of Science in Chemistry,15
B.S.C.S.,Bachelor of Science in Computer Science,15
B.S.E.,Bachelor of Science in Engineering,15
B.S.Ed.,Bachelor of Science in Education,15
B.S.E.E.,Bachelor of Science in Electrical Engineering,15
B.S.E.T.,Bachelor of Science in Engineering Technology,15
B.S.Geo.,Bachelor of Science in Geology,15
B.S.H.E.S.,Bachelor of Science in Human Environmental Sciences,15
B.S.M.E.,Bachelor of Science in Mechanical Engineering,15
B.S.Met.,Bachelor of Science in Metallurgical Engineering,15
B.S.Micr.,Bachelor of Science in Microbiology,15
B.S.Mt.E.,Bachelor of Science in Materials Engineering,15
B.S.N.,Bachelor of Science in Nursing,15
B.S.S.W.,Bachelor of Science in Social Work,15
B.S.W.,Bachelor of Social Work,15
B.Sw.E.,Bachelor of Software Engineering,15
B.T.E.,Bachelor of Textile Engineering,15
B.T.M.T.,Bachelor of Textile Management and Technology,15
B.W.E.,Bachelor of Wireless Engineering,15
LL.M.,Master of Law in Taxation,25
M.A.,Master of Arts,25
M.Acc.,Master of Accountancy,25
M.Acct.,Master of Accounting,25
M.A.E.,Master of Aerospace Engineering,25
M.A.Ed.,Master of Arts in Education,25
M.Agric.,Master of Agriculture,25
M.A.M.,Master of Applied Mathematics,25
M.Aqua.,Master of Aquaculture,25
M.A.T.,Master of Arts in Teaching,25
M.B.A.,Master of Business Administration,25
M.B.C.,Master of Building Construction,25
M.C.D.,Master of Communication Disorders,25
M.C.E.,Master of Civil Engineering,25
M.Che.E.,Master of Chemical Engineering,25
M.Com.,Master of Communication,25
M.Comm.Pl.,Master of Community Planning,25
M.Ed.,Master of Education,25
M.E.E.,Master of Electrical Engineering,25
M.Eng.,Master of Engineering,25
M.F.A.,Master of Fine Arts,25
M.His.St.,Master of Hispanic Studies,25
M.H.S.,Master of Health Science,25
M.I.D.C.,Master of Integrated Design and Construction,25
M.In.Dsn.,Master of Industrial Design,25
M.I.S.E.,Master of Industrial & Systems Engineering,25
M.L.A.,Master of Liberal Arts,25
M.L.Arch.,Master of Landscape Architecture,25
M.L.I.S.,Master of Library & Information Studies,25
M.M.,Master of Music,25
M.M.E.,Master of Mechanical Engineering,25
M.Mtl.E.,Master of Materials Engineering,25
M.N.A.,Master of Nurse Anesthesia,25
M.N.R.,Master of Natural Resources,25
M.P.A.,Master of Public Administration,25
M.P.H.,Master of Public Health,25
M.Prob.S.,Master of Probability and Statistics,25
